,Name,Address,Rating,Latitude,Longitude,Google Maps Link
61,ToFitko | Fitness World under Palmovka,"nám. Dr. Václava Holého 1054/13, 180 00 Praha 8-Palmovka, Czechia",4.7,50.1063604,14.473949,https://www.google.com/maps/place/?q=place_id:ChIJAbcSJavsC0cRWoq8D2Nkvn8
62,FYZIOklinika,"Machkova 1642/2, 149 00 Praha 11-Chodov, Czechia",4.8,50.0326711,14.5131425,https://www.google.com/maps/place/?q=place_id:ChIJJ65soT6SC0cR9swt0a34erw
63,Form Factory Fitness Club Anděl,"Plzeňská 8, 150 00 Praha 5-Smíchov, Czechia",3.9,50.0722027,14.4029441,https://www.google.com/maps/place/?q=place_id:ChIJY0BRpviUC0cRiJdMvcBLaxw
64,"ZDRAVOTNÍ cvičení, NORDIC WALKING kurzy, PILATES Praha 9: Ivana Veselá, DiS., FITzáda.cz","Pod Nouzovem 971, 197 00 Praha 19, Czechia",5.0,50.1391888,14.5491654,https://www.google.com/maps/place/?q=place_id:ChIJ1auh_8PtC0cRJSAGMC2jqLc
65,Studio Hvězda,"Křenova 11, 160 00 Praha 6, Czechia",4.9,50.0889259,14.3437828,https://www.google.com/maps/place/?q=place_id:ChIJ--3yaH2VC0cRxFrC4whg8ec
66,Form Factory Fitness Center Eden,"NC Eden, U Slavie 1527, 100 00 Praha 10, Czechia",4.1,50.0676014,14.4680208,https://www.google.com/maps/place/?q=place_id:ChIJVWoq7XaTC0cRMONkzBXy7Iw
67,Form Factory Fitness Club Harfa,"Českomoravská 2420/15a, 190 93 Praha 9, Czechia",4.1,50.1036346,14.4908404,https://www.google.com/maps/place/?q=place_id:ChIJKe8z2LTsC0cRLBl5g_3ICWw
68,Euforie – Fitness & Wellness Pankrác,"Na Pankráci 1600/82, 140 00 Praha 4-Nusle, Czechia",4.3,50.052828,14.4381082,https://www.google.com/maps/place/?q=place_id:ChIJAXiHPRuVC0cRk6uQ1OqOTa8
69,Form Factory Fitness Karlín,"Křižíkova 213/44, 186 00 Praha 8-Karlín, Czechia",4.0,50.0928157,14.4530468,https://www.google.com/maps/place/?q=place_id:ChIJL-xbdKSUC0cRwdXkCkQjSTk
70,Sports Center YMCA,"Na Poříčí 1041/12, 110 00 Nové Město, Czechia",4.2,50.0891332,14.4311669,https://www.google.com/maps/place/?q=place_id:ChIJRz30tOqUC0cR5ovNFFScjHM
71,Fit Time,"Železnobrodská 764, 197 00 Kbely, Czechia",4.9,50.13393259999999,14.5498948,https://www.google.com/maps/place/?q=place_id:ChIJXWI_eQHtC0cRt5Oc72rwzCE
72,Fittop center,"49, Seifertova 560, Žižkov, 130 00 Praha 3, Czechia",4.6,50.0850889,14.445369,https://www.google.com/maps/place/?q=place_id:ChIJKX6SyJmUC0cRFHNrUxWH4Hs
73,Fitness Center R5,"Růžová 971, 110 00 Nové Město, Czechia",4.2,50.08405459999999,14.4299202,https://www.google.com/maps/place/?q=place_id:ChIJ_UCuRpOUC0cRCPcvKWb3t_k
74,Euforie Fitness & Wellness Karlín,"Sokolovská 131/86, 186 00 Karlín, Czechia",4.3,50.093762,14.4507702,https://www.google.com/maps/place/?q=place_id:ChIJf_MbkaSUC0cRWIPaTFXCr6Q
75,Studio Samádhi,"Oplanská 2614, 190 16 Praha 21, Czechia",5.0,50.07762959999999,14.6476417,https://www.google.com/maps/place/?q=place_id:ChIJnVlmGICNC0cRC9aGksdLIG4
76,ToFitko | Pod Komínem,"Cukrovarská 987, 196 00 Praha-Čakovice, Czechia",4.8,50.1519075,14.5160351,https://www.google.com/maps/place/?q=place_id:ChIJ_RDbTD_tC0cRHA5oCmwoJQw
77,Yoga House - Chodov,"Hráského 2231/25, 148 00 Praha 11-Chodov, Czechia",4.9,50.0287722,14.4907648,https://www.google.com/maps/place/?q=place_id:ChIJ3fY1cy2SC0cRpfQSsZ6BIMI
78,Souladronka,"Břevnov 1028, 169 00 Praha 6, Czechia",4.7,50.0787163,14.3568364,https://www.google.com/maps/place/?q=place_id:ChIJ6xksZBqVC0cRXf_h1KDC_vE
79,Hit Fitness Flora,"Chrudimská 2b, 130 00 Praha 3-Vinohrady, Czechia",4.0,50.0771619,14.4629806,https://www.google.com/maps/place/?q=place_id:ChIJ_d8tmGSTC0cRnY4PH_Ggg1Y
80,Form Factory Fitness Club Vinohradská,"Vinohradská 190, 130 00 Praha 3-Žižkov, Czechia",4.1,50.078131,14.4743419,https://www.google.com/maps/place/?q=place_id:ChIJ0Tx_wm6TC0cRtns83u7134Y
81,Hotel Olšanka,"Táboritská 1000/23, 130 00 Praha 3-Žižkov, Czechia",3.9,50.0827778,14.4575,https://www.google.com/maps/place/?q=place_id:ChIJtwbd32GTC0cRMPpGbrT0fJY
82,Studio Yoga Mija,"Hradešínská 2387/31, 101 00 Praha 10-Vinohrady, Czechia",4.8,50.0738955,14.4561339,https://www.google.com/maps/place/?q=place_id:ChIJxZCB3SKTC0cRMVDwHdasT2U
83,Centrum zdravých zad,"Kodaňská 1441, 101 00 Praha 10-Vršovice, Czechia",4.5,50.069253,14.4640707,https://www.google.com/maps/place/?q=place_id:ChIJW-Xj7HmTC0cRRKMzYbqmuFY
85,Family and cultural center Nová Trojka,"Jeseniova 519/19, 130 00 Praha 3-Žižkov, Czechia",4.6,50.0863401,14.4588456,https://www.google.com/maps/place/?q=place_id:ChIJI-35-5-UC0cR9e6-Zg4tSgo
87,Mothergood,"YOGA BLUE ART, nám. J. z Poděbrad 1658, 130 00 Vinohrady, Czechia",5.0,50.0788484,14.4505776,https://www.google.com/maps/place/?q=place_id:ChIJJSdvBkSVC0cRhRIxOB66vDY
88,yogAlive | jóga a pilates na Vinohradech,"Mánesova 84, 120 00 Vinohrady, Czechia",4.8,50.0777039,14.4471805,https://www.google.com/maps/place/?q=place_id:ChIJYb9DVZuUC0cRs6JZdqNQbXM
91,Form Factory Fitness Club Vršovická,"Vršovická 1525, 101 00 Praha 10-Vršovice, Czechia",3.8,50.0667322,14.4442509,https://www.google.com/maps/place/?q=place_id:ChIJEw1qJX6UC0cRralojiWffuc
92,Klinika celostní terapie a sportu Vo2max,"Sokolovská 651/136A, 186 00 Praha 8-Karlín, Czechia",4.4,50.0963735,14.463067,https://www.google.com/maps/place/?q=place_id:ChIJizdE4aeUC0cROy9-PqjFrUE
93,David Wellness Fitness,"Vinohradská 1971, 120 00 Vinohrady, Czechia",3.9,50.0774702,14.4384987,https://www.google.com/maps/place/?q=place_id:ChIJeT8y7Y-UC0cR1-PMqHWNH64
96,FORM FACTORY Malešice,"Nad úžlabinou 708/5, 108 00 Praha 10, Czechia",3.9,50.0802921,14.4993722,https://www.google.com/maps/place/?q=place_id:ChIJ72AHMgCTC0cRcRpPTqiWtxs
97,Prague Yoga Collective Karlín,"Karolinská 706/3, 186 00 Praha 8-Karlín, Czechia",4.6,50.0946955,14.4442131,https://www.google.com/maps/place/?q=place_id:ChIJIxxyFaSVC0cRHfpIEGKygHo
98,Yoga House - Vinohrady,"J. Masaryka 6, 120 00 Praha 2-Vinohrady, Czechia",4.7,50.0701669,14.4355608,https://www.google.com/maps/place/?q=place_id:ChIJ39QMdIiUC0cRKUWhpBETC2M
99,Salt Cave and Heat center Strašnice,"Černokostelecká 106, 100 00 Strašnice, Czechia",4.1,50.0774664,14.5056787,https://www.google.com/maps/place/?q=place_id:ChIJuQ6cMhmTC0cR-LGb6OgC6ng
100,Prague Yoga Collective Rejsková,"Rejskova 2, 120 00 Praha 2-Vinohrady, Czechia",4.8,50.0669826,14.4333469,https://www.google.com/maps/place/?q=place_id:ChIJjeT9KbaUC0cRFcIAzXxrrvs
102,SC Palmovka,"6, Heydukova 1589, Libeň, 180 00 Praha 8, Czechia",4.3,50.1030039,14.4758791,https://www.google.com/maps/place/?q=place_id:ChIJj7ZOeFOTC0cRrB-TdI7AjEw
104,Form Factory Fitness Club SO-HO,"V Háji 10, 170 00 Praha 7-Holešovice, Czechia",4.0,50.1024995,14.4545809,https://www.google.com/maps/place/?q=place_id:ChIJOS7SaLiVC0cRx2Hsgc0L7yc
105,Form Factory Fitness Club Palladium,"OC PALLADIUM Náměstí Republiky 1079/1a 110 00 Praha 1 (nákupní centrum Palladium, 110 00 Praha, Czechia",3.7,50.0890481,14.4289816,https://www.google.com/maps/place/?q=place_id:ChIJX7mZ7OqUC0cRHINRbFK76wo
107,Sports Complex HAMR-Záběhlice,"K vodě 3200/3, 106 00 Praha 10-Záběhlice, Czechia",4.5,50.0542769,14.4855625,https://www.google.com/maps/place/?q=place_id:ChIJa8zYUa6TC0cRtTNddMQvREI
108,Form Factory Fitness Center Václavské náměstí,"Václavské nám. 22, 110 00 Nové Město, Czechia",4.0,50.0826423,14.4246586,https://www.google.com/maps/place/?q=place_id:ChIJs5wuBO2UC0cRhdfUHY35CR0
112,Seven in motion,"Bubenská 577, 170 00 Praha 7-Holešovice, Czechia",5.0,50.101751,14.4370105,https://www.google.com/maps/place/?q=place_id:ChIJ6aooJciUC0cRfjhfIyZM8uc
114,Form Factory,"Hvězdova 1689/2a, 140 00 Praha 4-Nusle, Czechia",3.8,50.0508659,14.4360473,https://www.google.com/maps/place/?q=place_id:ChIJCdY6NOqVC0cRCOVF0LqRhTM
115,Fitko Hanky ​​Kynychová,"Na Strži 1683/40, 140 00 Praha 4-Krč, Czechia",4.4,50.04869,14.4407159,https://www.google.com/maps/place/?q=place_id:ChIJO9wJcqOWC0cRTUPkW4chVEk
116,Prague Yoga Collective Letná,"Letenské nám. 748, 170 00 Praha 7-Holešovice, Czechia",4.9,50.1000461,14.4247858,https://www.google.com/maps/place/?q=place_id:ChIJjQwjiZSVC0cRbxglRXzSfDg
117,Yogarden,"Letenské nám. 1, 170 00 Praha 7-Holešovice, Czechia",4.5,50.1003215,14.4230017,https://www.google.com/maps/place/?q=place_id:ChIJn61GSc-VC0cRwvvqW6CF4zk
118,ONEGYM Holešovice,"Pod Dráhou 1637, 170 00 Praha 7-Holešovice, Czechia",4.4,50.1112073,14.4398084,https://www.google.com/maps/place/?q=place_id:ChIJQe4IcwDrC0cRtmmeBINMhnc
119,I'M FIT Wellness Fitness,"NC Fenix, Freyova 945/35, 190 00 Praha 9, Czechia",4.4,50.1104202,14.5013208,https://www.google.com/maps/place/?q=place_id:ChIJD41AKcjsC0cRW0fQE3o8JK4
120,Euforie Fitness & Wellness Smichov,"Štefánikova 13/43, 150 00 Praha 5-Smíchov, Czechia",4.3,50.0764494,14.4037962,https://www.google.com/maps/place/?q=place_id:ChIJ9Y8nP_mUC0cRVpghkBtt3SA
122,Yoga House - Angel,"Ostrovského 11/16, 155 00 Praha 5-Smíchov, Czechia",4.2,50.068942,14.4020135,https://www.google.com/maps/place/?q=place_id:ChIJlZZ74FaUC0cRIxsXLuu-4mo
123,"Hadovka Health & Fitness - fitness, group lessons, sauna","Evropská 2588, 160 00 Praha 6, Czechia",4.2,50.0993535,14.3784964,https://www.google.com/maps/place/?q=place_id:ChIJHxr4fz-VC0cRDrcRPbnw5u0
124,Paradise Gym&Fitness,"Bratří Venclíků 1139/3, 198 00 Praha 14-Černý Most, Czechia",4.6,50.1055853,14.5590024,https://www.google.com/maps/place/?q=place_id:ChIJDfgQXJjtC0cRM0f3IFZmdtw
125,Studio 123,"Naskové 3/1100, 150 00 Praha 5-Košíře, Czechia",5.0,50.0624029,14.3604491,https://www.google.com/maps/place/?q=place_id:ChIJJWbM572VC0cRkeuDG4tW8wo
126,Form Factory Fitness Club Černý Most,"OD Hasso, Breitcetlova 771/6, Černý Most, 198 00 Praha 14, Czechia",4.6,50.1052712,14.5745339,https://www.google.com/maps/place/?q=place_id:ChIJufGz_xDtC0cRY4K06nuwrwc
